comment_text,locate_restaurant,restaurant_type,table_reservation,restaurant_review,target
suggest me the closest restaurant,1,0,0,0,locate_restaurant
restaurants near me,1,0,0,0,locate_restaurant
I would like to visit an italian restaurant,0,1,0,0,restaurant_type
A family restaurant,0,1,0,0,restaurant_type
Book a table for two people,0,0,1,0,table_reservation
Book a table for 2 people,0,0,1,0,table_reservation
restaurant was awesome,0,0,0,1,restaurant_review
food was great,0,0,0,1,restaurant_review
locate a restaurant near me,1,0,0,0,locate_restaurant
find me a restaurant,1,0,0,0,locate_restaurant
mexican,0,1,0,0,restaurant_type
Indian,0,1,0,0,restaurant_type
table for 10 persons,0,0,1,0,table_reservation
table for six,0,0,1,0,table_reservation
ambience was amazing,0,0,0,1,restaurant_review
service was okay,0,0,0,1,restaurant_review
restaurants,1,0,0,0,locate_restaurant
Can you find me a restaurant near me,1,0,0,0,locate_restaurant
Chinese restaurant,0,1,0,0,restaurant_type
any restaurant,0,1,0,0,restaurant_type
table near the pool side,0,0,1,0,table_reservation
table for four with an child seating,0,0,1,0,table_reservation
add to my favourites,0,0,0,1,restaurant_review
give a 3.5 star,0,0,0,1,restaurant_review
"Show me the closest restaurant, please",1,0,0,0,locate_restaurant
"Give me the adress about the nearest restaurant, please",1,0,0,0,locate_restaurant
I would like to visit a multicusine restaurant,0,1,0,0,restaurant_type
restaurant with a bar,0,1,0,0,restaurant_type
table for a couple,0,0,1,0,table_reservation
couple,0,0,1,0,table_reservation
average,0,0,0,1,restaurant_review
worst experience,0,0,0,1,restaurant_review
Let me know the nearest restaurant,1,0,0,0,locate_restaurant
suggest me a restaurant in rome,1,0,0,0,locate_restaurant
restaurant above 4 stars,0,1,0,0,restaurant_type
restaurant in open area,0,1,0,0,restaurant_type
table with high chairs,0,0,1,0,table_reservation
table in the corner,0,0,1,0,table_reservation
food was good was service wasnt,0,0,0,1,restaurant_review
the waiter was rude,0,0,0,1,restaurant_review
restaurants in mumbai,1,0,0,0,locate_restaurant
best restaurants in delhi,1,0,0,0,locate_restaurant
kid-friendly restaurant,0,1,0,0,restaurant_type
restaurant with great ambience,0,1,0,0,restaurant_type
table with a booth,0,0,1,0,table_reservation
the meal was delicious,0,0,0,1,restaurant_review
food was exquisite,0,0,0,1,restaurant_review
good restaurant downtown,1,0,0,0,locate_restaurant
great restaurant uptown,1,0,0,0,locate_restaurant
highest rated restaurant,0,1,0,0,restaurant_type
dinning with a view,0,1,0,0,restaurant_type
reasonable or affordable prices,0,0,0,1,restaurant_review
a pleasant atmosphere,0,0,0,1,restaurant_review
Are there any inexpensive restaurants near here,1,0,0,0,locate_restaurant
Do you know of any restaurants open now,1,0,0,0,locate_restaurant
restaurant on a terrace,0,1,0,0,restaurant_type
fusion restaurant,0,1,0,0,restaurant_type
attentive service,0,0,0,1,restaurant_review
tastes great,0,0,0,1,restaurant_review
I'd like to have some local food,1,0,0,0,locate_restaurant
Where is the main area for restaurants,1,0,0,0,locate_restaurant
Mediterranean restaurant,0,1,0,0,restaurant_type
French,0,1,0,0,restaurant_type
This food is too flavor for my taste,0,0,0,1,restaurant_review
This tastes different. I think I prefer something else,0,0,0,1,restaurant_review
I'd like a restaurant with cheerful atmosphere,1,0,0,0,locate_restaurant
I want a restaurant with reasonable prices,1,0,0,0,locate_restaurant
German,0,1,0,0,restaurant_type
Italian,0,1,0,0,restaurant_type
Korean,0,1,0,0,restaurant_type
The restaurant has great decorate and ambiance,0,0,0,1,restaurant_review
"This place has a relaxed, casual vibe",0,0,0,1,restaurant_review
The atmosphere of the restaurant is unbeatable,0,0,0,1,restaurant_review
Thai restaurant,0,1,0,0,restaurant_type
Macau Restaurant,0,1,0,0,restaurant_type
dim sum,0,1,0,0,restaurant_type
The service of this five-star restaurant is impeccable,0,0,0,1,restaurant_review
Wow! this food is amazing,0,0,0,1,restaurant_review
flavorful,0,0,0,1,restaurant_review
British,0,1,0,0,restaurant_type
American,0,1,0,0,restaurant_type
Vietnamese ,0,1,0,0,restaurant_type
Could you recommend a nice restaurant?near here,1,0,0,0,locate_restaurant
suggest any good restaurants,1,0,0,0,locate_restaurant
Spanish,0,1,0,0,restaurant_type
Portuguese,0,1,0,0,restaurant_type
Where can I try the best local cuisine,1,0,0,0,locate_restaurant
Singapore restaurant,0,1,0,0,restaurant_type
fast food,0,1,0,0,restaurant_type
"This high-end restaurant is pricey, and thus is probably appropriate for a special occasion.",0,0,0,1,restaurant_review
I'd like to go to an inexpensive restaurant,1,0,0,0,locate_restaurant
I'd like to make a reservation for tonight,0,0,1,0,table_reservation
I didn't make a reservantion.Can I get a seat,0,0,1,0,table_reservation
Dutch restaurant,0,1,0,0,restaurant_type
Greek restaurant,0,1,0,0,restaurant_type
Hot pot restaurant,0,1,0,0,restaurant_type
There is a hair in my food,0,0,0,1,restaurant_review
Would you tell me how to eat this,0,0,0,1,restaurant_review
this is not what I ordered,0,0,0,1,restaurant_review
I ordered three cups of tea. But we only got two,0,0,0,1,restaurant_review
Wow... Loved this place,0,0,0,1,restaurant_review
Crust is not good,0,0,0,1,restaurant_review
Not tasty and the texture was just nasty,0,0,0,1,restaurant_review
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it,0,0,0,1,restaurant_review
The selection on the menu was great and so were the prices,0,0,0,1,restaurant_review
Now I am getting angry and I want my damn pho,0,0,0,1,restaurant_review
Honeslty it didn't taste THAT fresh,0,0,0,1,restaurant_review
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer,0,0,0,1,restaurant_review
The fries were great too,0,0,0,1,restaurant_review
A great touch,0,0,0,1,restaurant_review
Service was very prompt,0,0,0,1,restaurant_review
Would not go back,0,0,0,1,restaurant_review
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced,0,0,0,1,restaurant_review
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm",0,0,0,1,restaurant_review
I was disgusted because I was pretty sure that was human hair,0,0,0,1,restaurant_review
I was shocked because no signs indicate cash only,0,0,0,1,restaurant_review
Highly recommended,0,0,0,1,restaurant_review
Waitress was a little slow in service,0,0,0,1,restaurant_review
"This place is not worth your time, let alone Vegas",0,0,0,1,restaurant_review
did not like at all,0,0,0,1,restaurant_review
The Burrittos Blah,0,0,0,1,restaurant_review
"The food, amazing",0,0,0,1,restaurant_review
Service is also cute,0,0,0,1,restaurant_review
I could care less... The interior is just beautiful,0,0,0,1,restaurant_review
So they performed,0,0,0,1,restaurant_review
That's right....the red velvet cake.....ohhh this stuff is so good,0,0,0,1,restaurant_review
They never brought a salad we asked for,0,0,0,1,restaurant_review
"This hole in the wall has great Mexican street tacos, and friendly staff",0,0,0,1,restaurant_review
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed",0,0,0,1,restaurant_review
The worst was the salmon sashimi,0,0,0,1,restaurant_review
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal",0,0,0,1,restaurant_review
This was like the final blow,0,0,0,1,restaurant_review
I found this place by accident and I could not be happier,0,0,0,1,restaurant_review
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere",0,0,0,1,restaurant_review
"Overall, I like this place a lot",0,0,0,1,restaurant_review
The only redeeming quality of the restaurant was that it was very inexpensive,0,0,0,1,restaurant_review
Ample portions and good prices,0,0,0,1,restaurant_review
"Poor service, the waiter made me feel like I was stupid every time he came to the table",0,0,0,1,restaurant_review
My first visit to Hiro was a delight,0,0,0,1,restaurant_review
Service sucks,0,0,0,1,restaurant_review
The shrimp tender and moist,0,0,0,1,restaurant_review
There is not a deal good enough that would drag me into that establishment again,0,0,0,1,restaurant_review
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick,0,0,0,1,restaurant_review
"On a positive note, our server was very attentive and provided great service",0,0,0,1,restaurant_review
"Frozen pucks of disgust, with some of the worst people behind the register",0,0,0,1,restaurant_review
The only thing I did like was the prime rib and dessert section,0,0,0,1,restaurant_review
It's too bad the food is so damn generic,0,0,0,1,restaurant_review
"The burger is good beef, cooked just right",0,0,0,1,restaurant_review
If you want a sandwich just go to any Firehouse,0,0,0,1,restaurant_review
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing",0,0,0,1,restaurant_review
